,七股區,下營區,中西區,仁德區,佳里區,六甲區,北區,北門區,南化區,南區,善化區,大內區,學甲區,安南區,安定區,安平區,官田區,將軍區,山上區,左鎮區,後壁區,新化區,新市區,新營區,東區,東山區,柳營區,楠西區,歸仁區,永康區,玉井區,白河區,西港區,關廟區,鹽水區,麻豆區,龍崎區
七股區,0.0,20770.02304169116,17119.74968257233,24847.392552270583,9489.425549380183,30989.402461547936,16589.537877829793,17396.49178295599,45586.16359522836,20689.02090409353,20559.47704956387,30802.28503561346,16793.346270807346,9856.362723292257,13627.240398739388,16193.653649424463,26580.63765033932,9927.44515303894,28000.925132092496,33833.83243093101,36769.06389384212,26163.77851750303,20313.266966492894,28156.981811762653,20453.211177057514,39307.141777889796,30750.059742412977,43248.1785952129,27835.504241372673,19089.556222152187,37072.9986168182,44591.56118545664,10353.530596781413,30371.93855369232,24746.73810811291,15979.304235994498,34864.872106834315
下營區,20770.02304169116,0.0,27112.419399343707,32166.294467343094,11327.471653605306,11790.284198403515,25201.691322761413,15091.466340928835,31352.478538053023,31420.290266109067,10632.752987563166,16725.156812369733,8567.671145914963,23227.526635126596,15006.077497065704,28652.4756491421,9604.2187363848,14253.966459526238,18422.219779039056,27273.629887904066,16820.34764745436,23004.860923039134,16615.043809527804,8378.17858385909,27849.94888458944,19101.673386205584,10097.868263440881,26466.961644618834,31616.853705285506,22588.63820539767,23857.421774150316,23824.00317493787,13480.889915876556,31302.682030375632,7634.850072051007,5887.767423152918,33047.97176937406
中西區,17119.74968257233,27112.419399343707,0.0,7750.102462161774,19082.991175095216,32009.16982876464,2070.3679257522413,32045.798848654893,38293.82942322671,4373.043245277068,19364.139040126247,26783.11640668043,28490.588851752225,7265.031827670174,12122.723056716177,3062.317431114419,26837.413220307295,24555.69070071251,21384.619515185557,22685.893409859902,43576.8088996874,15193.235937577894,14084.598394389719,35456.05895233785,3843.095002931731,40516.01065582274,34500.41248978888,38883.327591638474,11524.098922092944,7162.963267821844,30434.44037795974,47823.27607591007,14381.218599377158,15068.73135267325,34038.556830423164,21309.91843522093,20319.61923988776
仁德區,24847.392552270583,32166.294467343094,7750.102462161774,0.0,25815.84026479275,34680.68313003212,8458.508841314946,39097.05503120332,36470.474660127074,5559.700848794659,22805.46447379957,27698.880652665626,34941.99027419134,15004.412554353212,17552.017746978632,9570.475564256105,29709.956038909808,31804.343881012945,21722.025404683187,19843.524056916904,47817.78533856048,14069.949741792201,16560.187952817465,40240.13924123029,4697.328608838692,42684.85335793612,38067.64509792901,38565.87466187672,5285.089872848767,9602.47979349973,29557.847444707782,50502.91426046781,20774.772120950165,9611.113634268522,39541.07151417335,26712.287425132392,14952.631720799654
佳里區,9489.425549380183,11327.471653605306,19082.991175095216,25815.84026479275,0.0,21671.70995847914,17599.55783782314,13388.925829767519,37882.344798968115,23406.55813399664,12683.637454564889,22705.79592409632,9472.995751252634,13360.238898351288,9137.810047279358,19702.564733495197,17556.78681835152,6937.621761847795,21196.75494055959,28594.314937957108,27711.027538172555,21831.764584458757,14932.905708112685,19063.425880605777,21125.32510020329,29866.261551160795,21261.701452083224,34692.22673473673,27067.42877387439,17308.318610723934,29500.127570966244,35125.350883269304,5158.095131157911,28315.25753539121,16223.244900095535,6641.918610275087,31749.501080361653
六甲區,30989.402461547936,11790.284198403515,32009.16982876464,34680.68313003212,21671.70995847914,0.0,29939.024534727636,26551.928087259817,20907.610449675398,35805.53686080487,12698.990893513252,9332.37469495336,20209.761257357404,30542.55482127603,20897.524493483437,34359.70379290335,5177.485971828872,25900.661832460493,14476.811216342276,22531.179620993636,15227.43284677299,21880.774469005013,18274.848935429145,11959.716127198042,31310.715666980115,8676.731178150489,5290.584254153628,15032.867141508978,32317.81425267621,25613.277706438057,14965.957989202967,15882.526399116614,21608.969821408216,30428.781444598655,15565.637336123606,15042.19481657268,30180.678156498663
北區,16589.537877829793,25201.691322761413,2070.3679257522413,8458.508841314946,17599.55783782314,29939.024534727636,0.0,30749.878167310613,36560.13783400018,6220.0219621515,17298.1048278119,24782.770110213478,26920.16637672441,6937.287599743862,10195.623861974718,4823.523002864964,24767.612686402004,23378.14040126626,19463.797069844833,21243.396143749713,41591.07549673928,13577.720092193704,12042.81646483523,33523.109900951276,3875.7231047027235,38446.84988349889,32456.353374643506,36958.35381722204,11362.989168830332,5317.107623844874,28601.239513430373,45755.81350130903,12733.260894166866,14472.493015314067,32222.52966292741,19439.533491749517,19545.45633456419
北門區,17396.49178295599,15091.466340928835,32045.798848654893,39097.05503120332,13388.925829767519,26551.928087259817,30749.878167310613,0.0,46418.87651633506,36243.716367997666,23329.16115957285,31557.452726446892,6574.190371054758,25511.645552818758,22416.406819737447,32161.559802261698,24647.114888323988,7687.2877454463805,32092.36879469597,40445.94488622334,24564.446435391812,34491.92304310567,27476.615868100587,17446.907784668336,34399.783692246565,32541.579250951483,23377.07541106137,41475.21638925724,40449.823456499274,30685.95618889024,38729.25016158282,34880.36429258234,18544.77340856893,41542.68369526244,12726.476811641263,15797.198803063518,44634.317685231385
南化區,45586.16359522836,31352.478538053023,38293.82942322671,36470.474660127074,37882.344798968115,20907.610449675398,36560.13783400018,46418.87651633506,0.0,40354.330726550535,25264.132953428056,15230.768947956498,39852.72579125397,40781.06523638029,32247.281356209878,41324.99900659872,21771.947428211264,43877.325172282835,17843.48387394503,16715.105625458204,33858.668478541054,23159.501679340017,25987.2798538553,32811.938883245784,35581.53375359688,20756.04263390988,25824.775366038168,7585.363600866546,31777.565448839123,31248.489645287562,8515.915701949656,27610.138305458895,35243.91819199188,27819.140564668047,36423.75817830011,31913.886652642945,23970.092389884954
南區,20689.02090409353,31420.290266109067,4373.043245277068,5559.700848794659,23406.55813399664,35805.53686080487,6220.0219621515,36243.716367997666,40354.330726550535,0.0,23286.98845381818,29945.787742656918,32836.71127024705,10972.709167924675,16414.641488878115,4558.113119654004,30662.777646871906,28684.270255662846,24252.294067113435,24092.99589820403,47787.69248377427,17271.7677178776,17609.409605629986,39742.88950476406,4861.409983217503,44194.75790743417,38547.682859720444,41633.707874327985,10621.005300919693,10297.81011444554,32886.84532739103,51674.621245821014,18751.744411819993,14798.249895884752,38399.07163942925,25645.023040499713,20198.85553508487
善化區,20559.47704956387,10632.752987563166,19364.139040126247,22805.46447379957,12683.637454564889,12698.990893513252,17298.1048278119,23329.16115957285,25264.132953428056,23286.98845381818,0.0,10249.910827989223,17076.339836514868,18106.915059924897,8413.291696241347,21662.279396346647,7525.076225112813,19088.711986794508,8819.620726017776,17183.914465948663,25030.914028992996,12373.98765514808,6357.530979879652,17835.86843856654,18996.691460013622,21316.466699359484,15328.21051373272,22737.157588353763,21452.99508768697,13334.260952057977,16832.50339315025,28460.554682905047,10259.668027574673,20760.26899861749,18236.663600361135,7542.376438192916,22437.217586456598
大內區,30802.28503561346,16725.156812369733,26783.11640668043,27698.880652665626,22705.79592409632,9332.37469495336,24782.770110213478,31557.452726446892,15230.768947956498,29945.787742656918,10249.910827989223,0.0,24990.344932262782,27390.32977038518,18042.652913967326,29557.112050785847,7300.664247710392,28651.394708767264,6040.119381242918,13229.586157179345,24559.802499886733,13882.827160373576,12837.229152831826,20344.391726994076,25142.580832524724,15481.404903074506,14469.142810071802,12669.368320148644,24479.54234897265,19728.161516771605,7171.852253800362,23642.983098776072,20473.821739158695,21965.247870968262,22923.978441852567,16688.123872118806,21081.81261247264
學甲區,16793.346270807346,8567.671145914963,28490.588851752225,34941.99027419134,9472.995751252634,20209.761257357404,26920.16637672441,6574.190371054758,39852.72579125397,32836.71127024705,17076.339836514868,24990.344932262782,0.0,22780.904645691644,17561.37013753515,29175.170862480987,18081.274343767833,7566.415686787156,25736.183880063734,34259.32461038874,20714.153861158546,28734.107273860354,21773.56429007235,12549.820302746819,30292.77777954712,26759.830975882473,17515.87705339688,35022.924424245706,35631.04794141888,25934.21550244759,32161.553852210785,30052.97381128679,14203.027124258188,36258.352482780836,8324.97169146677,9674.702016980875,38941.042880562854
安南區,9856.362723292257,23227.526635126596,7265.031827670174,15004.412554353212,13360.238898351288,30542.55482127603,6937.287599743862,25511.645552818758,40781.06523638029,10972.709167924675,18106.915059924897,27390.32977038518,22780.904645691644,0.0,9698.839928852522,6665.2389235808405,25471.21042388824,17865.985610641383,23008.21398843168,26743.499767871406,40046.48889008913,18845.665772680823,14864.946079776473,31544.247291727996,10719.935388887216,39219.210453652355,31969.859237181918,40019.455715623546,18300.27675159051,10689.107141679226,32432.886357423497,45817.28808583802,9747.033033290641,21278.193763528176,29339.686273032195,17374.821100730944,26175.09747142944
安定區,13627.240398739388,15006.077497065704,12122.723056716177,17552.017746978632,9137.810047279358,20897.524493483437,10195.623861974718,22416.406819737447,32247.281356209878,16414.641488878115,8413.291696241347,18042.652913967326,17561.37013753515,9698.839928852522,0.0,13894.850485586558,15791.704983187323,15966.157269376641,14476.424263207726,20401.064211256504,31485.83670946568,13061.680630305798,6700.370119447338,23335.181361107294,13025.66422581609,29570.358158054554,22700.783237614214,30710.53297556299,18112.597257458223,8376.599962819217,23745.721847877583,36371.43476017176,4141.04393722104,19178.59883420238,22111.089900987274,9277.152369180203,22713.31812272371
安平區,16193.653649424463,28652.4756491421,3062.317431114419,9570.475564256105,19702.564733495197,34359.70379290335,4823.523002864964,32161.559802261698,41324.99900659872,4558.113119654004,21662.279396346647,29557.112050785847,29175.170862480987,6665.2389235808405,13894.850485586558,0.0,29183.00962254813,24527.581762054524,24286.036872735836,25744.13275284056,45324.96004266832,18247.42536335479,16761.054461366835,37030.397037173265,6598.237448909165,42943.22626649092,36557.936190035805,41778.399187652474,14020.110819145722,10121.141252819738,33413.964114919734,50080.293762351816,15437.458794110917,17816.173030221995,35269.99037070543,22776.268642023217,23140.492031118432
官田區,26580.63765033932,9604.2187363848,26837.413220307295,29709.956038909808,17556.78681835152,5177.485971828872,24767.612686402004,24647.114888323988,21771.947428211264,30662.777646871906,7525.076225112813,7300.664247710392,18081.274343767833,25471.21042388824,15791.704983187323,29183.00962254813,0.0,22636.742580447994,10694.0930512694,19420.053506756056,18904.98215668914,17435.993755666466,13203.816223671585,13379.440212060525,26214.8454965366,13801.57974763556,8654.115782755705,17363.109484610366,27630.27517762197,20514.209111228774,14317.313959295514,21012.156225215116,16809.8246644634,26087.07562585891,15642.943610188171,10979.664765322306,26455.949446676623
將軍區,9927.44515303894,14253.966459526238,24555.69070071251,31804.343881012945,6937.621761847795,25900.661832460493,23378.14040126626,7687.2877454463805,43877.325172282835,28684.270255662846,19088.711986794508,28651.394708767264,7566.415686787156,17865.985610641383,15966.157269376641,24527.581762054524,22636.742580447994,0.0,27818.957998389644,35472.20711857155,28265.670997619054,28768.604421623255,21863.78219946732,19968.4300504342,27121.928135638598,33313.56835259413,24163.730217368888,39999.449067791866,33568.4142055273,23885.31000574753,35668.03769975319,37303.26581914726,11856.966884234109,35081.127113408504,15888.265819347218,11963.634245142013,38653.02792978468
山上區,28000.925132092496,18422.219779039056,21384.619515185557,21722.025404683187,21196.75494055959,14476.811216342276,19463.797069844833,32092.36879469597,17843.48387394503,24252.294067113435,8819.620726017776,6040.119381242918,25736.183880063734,23008.21398843168,14476.424263207726,24286.036872735836,10694.0930512694,27818.957998389644,0.0,8906.90853624401,29425.140314040644,7843.0189925162485,8157.769467563798,23959.945678127002,19404.510688089653,21444.733991262015,19133.420665921916,17498.94451961967,18443.781041665385,14228.52354121535,9425.885168125937,29550.53430005683,17776.61898802815,16067.941437075388,25595.545244636072,16345.689735254995,15807.391105549905
左鎮區,33833.83243093101,27273.629887904066,22685.893409859902,19843.524056916904,28594.314937957108,22531.179620993636,21243.396143749713,40445.94488622334,16715.105625458204,24092.99589820403,17183.914465948663,13229.586157179345,34259.32461038874,26743.499767871406,20401.064211256504,25744.13275284056,19420.053506756056,35472.20711857155,8906.90853624401,0.0,37740.27735561063,7899.32342108998,13795.749338299369,32779.213938129906,19508.048336757536,28116.775274740965,27538.979828798696,20033.836153655284,15062.781674480526,16205.226267769627,11021.264319286103,36318.72139648067,24342.903529847048,11169.120896084498,34501.65608410015,24659.46735490937,8309.198680131409
後壁區,36769.06389384212,16820.34764745436,43576.8088996874,47817.78533856048,27711.027538172555,15227.43284677299,41591.07549673928,24564.446435391812,33858.668478541054,47787.69248377427,25030.914028992996,24559.802499886733,20714.153861158546,40046.48889008913,31485.83670946568,45324.96004266832,18904.98215668914,28265.670997619054,29425.140314040644,37740.27735561063,0.0,36319.56363084619,31360.92971226418,8648.087904984859,43836.8842717347,13466.492878978264,10294.62382834719,26595.295699855957,46305.765040077866,38271.7456541017,29660.095990951337,11232.637413811739,30299.456136316738,44977.83114472027,12397.056710620991,22681.149254599964,45229.35598389951
新化區,26163.77851750303,23004.860923039134,15193.235937577894,14069.949741792201,21831.764584458757,21880.774469005013,13577.720092193704,34491.92304310567,23159.501679340017,17271.7677178776,12373.98765514808,13882.827160373576,28734.107273860354,18845.665772680823,13061.680630305798,18247.42536335479,17435.993755666466,28768.604421623255,7843.0189925162485,7899.32342108998,36319.56363084619,0.0,7015.604503750831,29910.925083132403,12449.682171948396,29245.097562183586,26090.024277928558,24543.569125552087,10607.008616357112,8386.06075236404,15645.569151482716,37299.94376219949,17161.516809521127,8659.374601736154,30608.585222965627,19100.01297262133,10210.482682744985
新市區,20313.266966492894,16615.043809527804,14084.598394389719,16560.187952817465,14932.905708112685,18274.848935429145,12042.81646483523,27476.615868100587,25987.2798538553,17609.409605629986,6357.530979879652,12837.229152831826,21773.56429007235,14864.946079776473,6700.370119447338,16761.054461366835,13203.816223671585,21863.78219946732,8157.769467563798,13795.749338299369,31360.92971226418,7015.604503750831,0.0,24157.756945552548,13037.936866937029,26587.386638769636,21509.923876093697,25294.499645408072,15118.509826974087,7347.069162866575,17581.831841791918,34156.34167672675,10548.778222553448,14743.002600842568,24244.81834381192,12203.16653911656,17185.507870660713
新營區,28156.981811762653,8378.17858385909,35456.05895233785,40240.13924123029,19063.425880605777,11959.716127198042,33523.109900951276,17446.907784668336,32811.938883245784,39742.88950476406,17835.86843856654,20344.391726994076,12549.820302746819,31544.247291727996,23335.181361107294,37030.397037173265,13379.440212060525,19968.4300504342,23959.945678127002,32779.213938129906,8648.087904984859,29910.925083132403,24157.756945552548,0.0,36041.085254777296,15501.975400694908,7084.217927752081,26482.049490635516,39275.751572908935,30637.68358494793,26756.21183707503,17561.567748986614,21811.04458329192,38485.914645448385,4740.547314854656,14262.133012350278,39519.56470505039
東區,20453.211177057514,27849.94888458944,3843.095002931731,4697.328608838692,21125.32510020329,31310.715666980115,3875.7231047027235,34399.783692246565,35581.53375359688,4861.409983217503,18996.691460013622,25142.580832524724,30292.77777954712,10719.935388887216,13025.66422581609,6598.237448909165,26214.8454965366,27121.928135638598,19404.510688089653,19508.048336757536,43836.8842717347,12449.682171948396,13037.936866937029,36041.085254777296,0.0,39590.231477455614,34324.27746476965,36772.32686443682,7703.508421646485,5700.645939798665,28038.227113398894,47193.05958159874,16105.310970766906,11252.569834848271,35113.76330124447,22268.06221700608,16548.45126401761
東山區,39307.141777889796,19101.673386205584,40516.01065582274,42684.85335793612,29866.261551160795,8676.731178150489,38446.84988349889,32541.579250951483,20756.04263390988,44194.75790743417,21316.466699359484,15481.404903074506,26759.830975882473,39219.210453652355,29570.358158054554,42943.22626649092,13801.57974763556,33313.56835259413,21444.733991262015,28116.775274740965,13466.492878978264,29245.097562183586,26587.386638769636,15501.975400694908,39590.231477455614,0.0,9244.139608531881,13288.47192095414,39846.87732169553,33925.598337862786,18174.046066910167,8210.778019908246,30209.838762906613,37446.629280341476,20141.058066798825,23337.394205800916,36293.530002053034
柳營區,30750.059742412977,10097.868263440881,34500.41248978888,38067.64509792901,21261.701452083224,5290.584254153628,32456.353374643506,23377.07541106137,25824.775366038168,38547.682859720444,15328.21051373272,14469.142810071802,17515.87705339688,31969.859237181918,22700.783237614214,36557.936190035805,8654.115782755705,24163.730217368888,19133.420665921916,27538.979828798696,10294.62382834719,26090.024277928558,21509.923876093697,7084.217927752081,34324.27746476965,9244.139608531881,0.0,19397.9492162056,36230.30141191396,28659.416222367832,20245.377273211143,13962.853340116562,22445.37146431551,34739.44332739972,11312.310365057496,15037.447957398295,34939.8959351903
楠西區,43248.1785952129,26466.961644618834,38883.327591638474,38565.87466187672,34692.22673473673,15032.867141508978,36958.35381722204,41475.21638925724,7585.363600866546,41633.707874327985,22737.157588353763,12669.368320148644,35022.924424245706,40019.455715623546,30710.53297556299,41778.399187652474,17363.109484610366,39999.449067791866,17498.94451961967,20033.836153655284,26595.295699855957,24543.569125552087,25294.499645408072,26482.049490635516,36772.32686443682,13288.47192095414,19397.9492162056,0.0,34464.95105893062,31725.018248181095,9124.611280688852,20036.9766892811,32995.08222707992,31004.453009437584,30492.99815233931,28254.74398653394,28167.43920896076
歸仁區,27835.504241372673,31616.853705285506,11524.098922092944,5285.089872848767,27067.42877387439,32317.81425267621,11362.989168830332,40449.823456499274,31777.565448839123,10621.005300919693,21452.99508768697,24479.54234897265,35631.04794141888,18300.27675159051,18112.597257458223,14020.110819145722,27630.27517762197,33568.4142055273,18443.781041665385,15062.781674480526,46305.765040077866,10607.008616357112,15118.509826974087,39275.751572908935,7703.508421646485,39846.87732169553,36230.30141191396,34464.95105893062,0.0,9765.643362771058,25354.896506155274,47877.21200700836,21909.371380974473,4343.139062915209,39203.0169762351,26651.630936071702,9668.209092518455
永康區,19089.556222152187,22588.63820539767,7162.963267821844,9602.47979349973,17308.318610723934,25613.277706438057,5317.107623844874,30685.95618889024,31248.489645287562,10297.81011444554,13334.260952057977,19728.161516771605,25934.21550244759,10689.107141679226,8376.599962819217,10121.141252819738,20514.209111228774,23885.31000574753,14228.52354121535,16205.226267769627,38271.7456541017,8386.06075236404,7347.069162866575,30637.68358494793,5700.645939798665,33925.598337862786,28659.416222367832,31725.018248181095,9765.643362771058,0.0,23292.897040987213,41495.80041995815,12151.68447712933,11398.571647242079,30023.198310429067,17247.548312231727,15788.206900737636
